Surah,Ayah,Text,Label
1,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",['muslim_ethic']
1,3,"Most Gracious, Most Merciful;",['pillars_of_faith']
1,4,Master of the Day of Judgment.,['pillars_of_faith']
1,6,"Show us the straight way,",['pillars_of_faith']
1,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.","['pillars_of_faith', 'forbiden_acts']"
2,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts']"
2,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;","['pillars_of_faith', 'mandatory_acts']"
2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",['pillars_of_faith']
2,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",['forbiden_acts']
2,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",['pillars_of_faith']
2,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",['pillars_of_faith']
2,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",['forbiden_acts']
2,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",['forbiden_acts']
2,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""","['forbiden_acts', 'creation_and_creatures']"
2,15,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).","['pillars_of_faith', 'foundations_of_the_laws']"
2,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,",['pillars_of_faith']
2,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!","['pillars_of_faith', 'forbiden_acts', 'science_in_the_quran']"
2,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",['pillars_of_faith']
2,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;","['pillars_of_faith', 'muslim_ethic', 'creation_and_creatures']"
2,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).","['pillars_of_faith', 'creation_and_creatures', 'science_in_the_quran']"
2,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts']"
2,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.","['pillars_of_faith', 'muslim_ethic']"
2,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).","['pillars_of_faith', 'muslim_ethic']"
2,26,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-","['pillars_of_faith', 'forbiden_acts', 'creation_and_creatures']"
2,27,"Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",['forbiden_acts']
2,28,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.","['pillars_of_faith', 'forbiden_acts']"
2,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.","['pillars_of_faith', 'creation_and_creatures', 'science_in_the_quran']"
2,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""","['muslim_ethic', 'forbiden_acts']"
2,31,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""","['muslim_ethic', 'science_in_the_quran']"
2,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""",['pillars_of_faith']
2,33,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",['pillars_of_faith']
2,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.",['forbiden_acts']
2,35,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""","['forbiden_acts', 'creation_and_creatures']"
2,36,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""","['pillars_of_faith', 'forbiden_acts']"
2,37,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.","['pillars_of_faith', 'mandatory_acts', 'creation_and_creatures']"
2,38,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",['pillars_of_faith']
2,39,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""",['forbiden_acts']
2,40,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,41,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.","['pillars_of_faith', 'muslim_ethic', 'forbiden_acts']"
2,42,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).",['forbiden_acts']
2,43,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,['mandatory_acts']
2,44,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?","['muslim_ethic', 'forbiden_acts', 'people_of_the_book']"
2,45,"Nay, seek (Allah's) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-","['pillars_of_faith', 'mandatory_acts', 'muslim_ethic']"
2,47,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).","['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,48,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).","['pillars_of_faith', 'muslim_ethic']"
2,49,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.",['forbiden_acts']
2,51,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.","['forbiden_acts', 'people_of_the_book']"
2,52,Even then We did forgive you; there was a chance for you to be grateful.,['muslim_ethic']
2,53,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,['pillars_of_faith']
2,54,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.","['mandatory_acts', 'forbiden_acts']"
2,55,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",['pillars_of_faith']
2,56,Then We raised you up after your death: Ye had the chance to be grateful.,"['pillars_of_faith', 'muslim_ethic', 'people_of_the_book']"
2,57,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.","['pillars_of_faith', 'creation_and_creatures', 'science_in_the_quran']"
2,58,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""","['mandatory_acts', 'muslim_ethic', 'forbiden_acts']"
